grid,region,name,power_per_core,available_cores,tdp_watts,physical_cores,clock_speed_ghz,hostname
NYIS,NY,AMD EPYC 7552 48-Core Processor,4.166,9216,200.0,48,2.72,nrp-c17.nysernet.org
NYIS,NY,AMD EPYC 7443P 24-Core Processor,8.33,576,200.0,24,3.14,nrp-fiona-001.sdmz.amnh.org
NYIS,NY,AMD EPYC 7451 24-Core Processor,7.5,1152,180.0,24,2.36,nrp-g1.nysernet.org
NYIS,NY,AMD EPYC 7402P 24-Core Processor,7.5,1152,180.0,24,3.2,pas.newy32aoa.net.internet2.edu
PACE,NW,AMD EPYC 7402P 24-Core Processor,7.5,1152,180.0,24,3.28,pas.salt.net.internet2.edu
PGE,NW,AMD EPYC 7402P 24-Core Processor,7.5,1152,180.0,24,3.23,pas.port.net.internet2.edu
PJM,MIDA,Intel(R) Xeon(R) Silver 4310 CPU @ 2.10GHz,10.0,576,120.0,12,2.33,dtn-crispie.njedge.net
PJM,MIDA,Intel(R) Xeon(R) CPU E5-2630 v3 @ 2.40GHz,10.625,128,85.0,8,2.75,gdc-mren-dtn.scidmz.northwestern.edu
PJM,MIDA,AMD EPYC 7402P 24-Core Processor,7.5,1152,180.0,24,3.29,pas.ashb.net.internet2.edu
PJM,MIDA,AMD EPYC 7402P 24-Core Processor,7.5,1152,180.0,24,3.32,pas.cinc.net.internet2.edu
PJM,MIDA,AMD EPYC 7402P 24-Core Processor,7.5,1152,180.0,24,3.24,pas.clev.net.internet2.edu
PJM,MIDA,AMD EPYC 7402P 24-Core Processor,7.5,1152,180.0,24,3.27,pas.eqch.net.internet2.edu
PJM,MIDA,AMD EPYC 7402P 24-Core Processor,7.5,1152,180.0,24,3.22,pas.phil.net.internet2.edu
PJM,MIDA,AMD EPYC 7402P 24-Core Processor,7.5,1152,180.0,24,3.29,pas.pitt.net.internet2.edu
PJM,MIDA,AMD EPYC 7402P 24-Core Processor,7.5,1152,180.0,24,3.33,pas.star.net.internet2.edu
PJM,MIDA,AMD EPYC 7402P 24-Core Processor,7.5,1152,180.0,24,3.31,pas.wash.net.internet2.edu
PJM,MIDA,AMD EPYC 7252 8-Core Processor,15.0,128,120.0,8,3.16,starlightdtn108.scidmz.northwestern.edu
PNM,SW,AMD EPYC 7443P 24-Core Processor,8.33,576,200.0,24,3.69,k8s-a6000-01.unm.edu
PSCO,NW,AMD EPYC 7402P 24-Core Processor,7.5,1152,180.0,24,3.34,pas.denv.net.internet2.edu
SCL,NW,AMD EPYC 7402P 24-Core Processor,7.5,1152,180.0,24,3.31,pas.seat.net.internet2.edu
SOCO,SE,Intel(R) Xeon(R) Silver 4215R CPU @ 3.20GHz,16.25,128,130.0,8,3.42,bcdc-gw-40g-ps.gatech.edu
SOCO,SE,Intel(R) Xeon(R) E-2374G CPU @ 3.70GHz,20.0,32,80.0,4,4.3,msm-ps.sox.net
SOCO,SE,Intel(R) Xeon(R) Silver 4215R CPU @ 3.20GHz,16.25,128,130.0,8,3.9,nautilus1.sox.net
SOCO,SE,Intel(R) Xeon(R) Silver 4215R CPU @ 3.20GHz,16.25,128,130.0,8,3.48,nautilus2.sox.net
SOCO,SE,AMD EPYC 7402P 24-Core Processor,7.5,1152,180.0,24,3.27,pas.pens.net.internet2.edu
SOCO,SE,Intel(R) Xeon(R) Silver 4215R CPU @ 3.20GHz,16.25,128,130.0,8,3.24,rich-gw-40g-ps.gatech.edu
SOCO,SE,Intel(R) Xeon(R) E E-2456,13.33,72,80.0,6,3.77,tuskegee-ps.sox.net
SWPP,CENT,Intel(R) Xeon(R) Gold 6134 CPU @ 3.20GHz,16.25,128,130.0,8,3.7,fiona.hpc.okstate.edu
SWPP,CENT,Intel(R) Xeon(R) Gold 6134 CPU @ 3.20GHz,16.25,128,130.0,8,3.58,fiona.offn.oscer.ou.edu
SWPP,CENT,AMD EPYC 7713 64-Core Processor,3.515,16384,225.0,64,2.47,gpengine-uark.areon.net
SWPP,CENT,Intel(R) Xeon(R) CPU E5-2680 v3 @ 2.50GHz,10.0,576,120.0,12,3.19,gpn-cisco1-nautilus.greatplains.net
SWPP,CENT,Intel(R) Xeon(R) CPU E5-2680 v3 @ 2.50GHz,10.0,576,120.0,12,2.94,gpn-cisco2-nautilus.greatplains.net
SWPP,CENT,Intel(R) Xeon(R) Gold 6134 CPU @ 3.20GHz,16.25,256,130.0,8,3.11,gpn-fiona.usd.edu
SWPP,CENT,AMD EPYC 7713 64-Core Processor,3.515,16384,225.0,64,2.34,hcc-gpengine-shor-c5303.unl.edu
SWPP,CENT,AMD EPYC 7713 64-Core Processor,3.515,8192,225.0,64,2.26,hcc-gpn-argo-1.unl.edu
SWPP,CENT,Intel(R) Xeon(R) 6517P,11.875,512,190.0,16,1.61,hcc-nrp-pki-c1703.unl.edu
SWPP,CENT,Intel(R) Xeon(R) 6517P,11.875,512,190.0,16,2.62,hcc-nrp-pki-c1705.unl.edu
SWPP,CENT,AMD EPYC 7282 16-Core Processor,7.5,512,120.0,16,3.17,hcc-nrp-shor-c5226.unl.edu
SWPP,CENT,AMD EPYC 7502 32-Core Processor,5.625,4096,180.0,32,2.92,hcc-nrp-shor-c5813.unl.edu
SWPP,CENT,AMD EPYC 7502 32-Core Processor,5.625,4096,180.0,32,3.03,hcc-nrp-shor-c5825.unl.edu
SWPP,CENT,AMD EPYC 7282 16-Core Processor,7.5,1024,120.0,16,3.11,hcc-nrp-shor-c5830.unl.edu
SWPP,CENT,AMD EPYC 7282 16-Core Processor,7.5,512,120.0,16,3.13,hcc-nrp-shor-c5834.unl.edu
SWPP,CENT,AMD EPYC 7282 16-Core Processor,7.5,1024,120.0,16,3.01,hcc-nrp-shor-c5930.unl.edu
SWPP,CENT,AMD EPYC 7282 16-Core Processor,7.5,512,120.0,16,3.17,hcc-nrp-shor-c5934.unl.edu
SWPP,CENT,AMD EPYC 7502 32-Core Processor,5.625,4096,180.0,32,3.04,hcc-nrp-shor-c6021.unl.edu
SWPP,CENT,AMD EPYC 7502 32-Core Processor,5.625,4096,180.0,32,2.63,hcc-nrp-shor-c6025.unl.edu
SWPP,CENT,AMD EPYC 7502 32-Core Processor,5.625,4096,180.0,32,2.98,hcc-nrp-shor-c6029.unl.edu
SWPP,CENT,AMD EPYC 7282 16-Core Processor,7.5,512,120.0,16,3.19,hcc-nrp-shor-c6034.unl.edu
SWPP,CENT,AMD EPYC 7443P 24-Core Processor,8.33,576,200.0,24,3.71,hcc-prp-c5036.unl.edu
SWPP,CENT,AMD EPYC 7443P 24-Core Processor,8.33,576,200.0,24,3.5,k8s-3090-01.usd.edu
SWPP,CENT,AMD EPYC 7402P 24-Core Processor,7.5,1152,180.0,24,3.34,pas.tuls.net.internet2.edu
SWPP,CENT,AMD EPYC 7713 64-Core Processor,3.515,8192,225.0,64,2.77,ren-gp-argo-01.madren.org
SWPP,CENT,AMD EPYC 7713 64-Core Processor,3.515,8192,225.0,64,2.32,sdsu.gp-argo.greatplains.net
TEPC,SW,AMD EPYC 7402P 24-Core Processor,7.5,1152,180.0,24,3.17,pas.tucs.net.internet2.edu
TVA,TEN,INTEL(R) XEON(R) SILVER 4509Y,15.625,128,125.0,8,3.48,365dc-ps.sox.net
TVA,TEN,INTEL(R) XEON(R) SILVER 4509Y,15.625,128,125.0,8,3.33,sidco-ps.sox.net
WACM,NW,Intel(R) Xeon(R) CPU E5-2643 v4 @ 3.40GHz,32.5,72,195.0,6,3.61,fiona.nwsc.ucar.edu
WACM,NW,Intel(R) Xeon(R) Gold 6134 CPU @ 3.20GHz,16.25,256,130.0,8,3.68,sdsmt-fiona.sdsmt.edu
WACM,NW,AMD EPYC 7713 64-Core Processor,3.515,8192,225.0,64,2.6,sdsmt.gp-argo.greatplains.net
